local,pin,area,district,state
Adhiyapur B.O,206002,Saifai,Etawah,UTTAR PRADESH
Babain B.O,206121,Auraiya,Auraiya,UTTAR PRADESH
Banthara B.O,206243,Bidhuna,Auraiya,UTTAR PRADESH
Ber B.O,206242,Bharthana,Etawah,UTTAR PRADESH
Bhagya Nagar B.O,206247,Auraiya,Auraiya,UTTAR PRADESH
Bhaipur B.O,206243,Bidhuna,Auraiya,UTTAR PRADESH
Bhason B.O,206129,Auraiya,Auraiya,UTTAR PRADESH
Bhurepurkalan B.O,206121,Auraiya,Auraiya,UTTAR PRADESH
Deoraon B.O,206250,Bidhuna,Auraiya,UTTAR PRADESH
Dhanua B.O,206001,Jaswant Nagar,Etawah,UTTAR PRADESH
Dibiapura Mandi S.O,206244,Auraiya,Auraiya,UTTAR PRADESH
Distt Board  Etawah S.O,206001,Etawah,Etawah,UTTAR PRADESH
Dondapur B.O,206243,Bidhuna,Auraiya,UTTAR PRADESH
Ekari B.O,206127,Chakar Nagar,Etawah,UTTAR PRADESH
Gauhani Kalan B.O,206121,Auraiya,Auraiya,UTTAR PRADESH
Jarhauli B.O,206131,Etawah,Etawah,UTTAR PRADESH
Khanpur B.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Lakhana S.O,206127,Chakar Nagar,Etawah,UTTAR PRADESH
Larkhaur B.O,206130,Saifai,Etawah,UTTAR PRADESH
Mahmoodpur B.O,206129,Auraiya,Auraiya,UTTAR PRADESH
Muhammdabad B.O,206241,Bidhuna,Auraiya,UTTAR PRADESH
Musaoli B.O,206003,Etawah,Etawah,UTTAR PRADESH
Phaphund S.O,206247,Auraiya,Auraiya,UTTAR PRADESH
Piproli Gadhia B.O,206125,Chakar Nagar,Etawah,UTTAR PRADESH
Rajpur B.O,206125,Chakar Nagar,Etawah,UTTAR PRADESH
Ruruganj S.O,206249,Auraiya,Auraiya,UTTAR PRADESH
Salhapur B.O,206247,Auraiya,Auraiya,UTTAR PRADESH
Sarangpura B.O,206002,Saifai,Etawah,UTTAR PRADESH
Sarawa B.O,206242,Bharthana,Etawah,UTTAR PRADESH
Sohari Garhia B.O,206121,Auraiya,Auraiya,UTTAR PRADESH
Takrupur B.O,206127,Chakar Nagar,Etawah,UTTAR PRADESH
Achhalda S.O,206241,Bidhuna,Auraiya,UTTAR PRADESH
Anantraam Sonasi B.O,206128,Bharthana,Etawah,UTTAR PRADESH
Auraiya H.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Bahadurpurghar B.O,206127,Chakar Nagar,Etawah,UTTAR PRADESH
Bakhriya B.O,206129,Auraiya,Auraiya,UTTAR PRADESH
Basrehar S.O,206253,Etawah,Etawah,UTTAR PRADESH
Bindwa Kalan B.O,206125,Chakar Nagar,Etawah,UTTAR PRADESH
Bithauli B.O,206125,Chakar Nagar,Etawah,UTTAR PRADESH
Burhadana B.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Chakar Nagar S.O,206125,Chakar Nagar,Etawah,UTTAR PRADESH
Chakwa Bujurg B.O,206253,Saifai,Etawah,UTTAR PRADESH
Chindauli B.O,206127,Chakar Nagar,Etawah,UTTAR PRADESH
Chitbhawan B.O,206003,Etawah,Etawah,UTTAR PRADESH
Dataoli B.O,206002,Saifai,Etawah,UTTAR PRADESH
Fatehpura B.O,206124,Bharthana,Etawah,UTTAR PRADESH
Ghasara B.O,206241,Bidhuna,Auraiya,UTTAR PRADESH
Girdharipura B.O,206242,Bharthana,Etawah,UTTAR PRADESH
Haidarpur B.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Heonra B.O,206001,Saifai,Etawah,UTTAR PRADESH
I. T. I. Etawah S.O,206002,Etawah,Etawah,UTTAR PRADESH
Jua B.O,206247,Auraiya,Auraiya,UTTAR PRADESH
Kharkauli B.O,206253,Saifai,Etawah,UTTAR PRADESH
Ludhiani B.O,206124,Bharthana,Etawah,UTTAR PRADESH
Malhausi B.O,206242,Bharthana,Etawah,UTTAR PRADESH
Muradganj S.O,206129,Auraiya,Auraiya,UTTAR PRADESH
N. T. P. C. Dibiapur S.O,206244,Auraiya,Auraiya,UTTAR PRADESH
Nagla Taur B.O,206245,Jaswant Nagar,Etawah,UTTAR PRADESH
Nevilganj S.O,206241,Bidhuna,Auraiya,UTTAR PRADESH
Patna Airwa B.O,206252,Bidhuna,Auraiya,UTTAR PRADESH
Pilkhar B.O,206003,Etawah,Etawah,UTTAR PRADESH
Rahin B.O,206253,Saifai,Etawah,UTTAR PRADESH
Ram Lila Road S.O,206003,Etawah,Etawah,UTTAR PRADESH
Ramain B.O,206242,Bharthana,Etawah,UTTAR PRADESH
Rathgaon B.O,206243,Bidhuna,Auraiya,UTTAR PRADESH
Sahabda B.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Santoshpur Ghat B.O,206253,Saifai,Etawah,UTTAR PRADESH
Surendha B.O,206252,Bidhuna,Auraiya,UTTAR PRADESH
Ucha B.O,206129,Auraiya,Auraiya,UTTAR PRADESH
Abhinaypur Pathakpur B.O,206253,Saifai,Etawah,UTTAR PRADESH
Bahuri B.O,206131,Etawah,Etawah,UTTAR PRADESH
Baralokpur S.O,206123,Etawah,Etawah,UTTAR PRADESH
Barhpura B.O,206131,Etawah,Etawah,UTTAR PRADESH
Baroli Khurd B.O,206253,Saifai,Etawah,UTTAR PRADESH
Beena B.O,206123,Bharthana,Etawah,UTTAR PRADESH
Bhainsol B.O,206241,Bidhuna,Auraiya,UTTAR PRADESH
Bharthana S.O,206242,Bharthana,Etawah,UTTAR PRADESH
Bhikhepur B.O,206129,Auraiya,Auraiya,UTTAR PRADESH
Bidhuna S.O,206243,Bidhuna,Auraiya,UTTAR PRADESH
Bijoli B.O,206124,Bharthana,Etawah,UTTAR PRADESH
Birari B.O,206126,Etawah,Etawah,UTTAR PRADESH
Colleger Road Bharthana B.O,206001,Bharthana,Etawah,UTTAR PRADESH
Dashehra B.O,206241,Bidhuna,Auraiya,UTTAR PRADESH
Dhupkari B.O,206244,Auraiya,Auraiya,UTTAR PRADESH
Durgapura B.O,206127,Bharthana,Etawah,UTTAR PRADESH
Etawah New City S.O,206001,Etawah,Etawah,UTTAR PRADESH
Gati B.O,206131,Etawah,Etawah,UTTAR PRADESH
Goora B.O,206243,Bidhuna,Auraiya,UTTAR PRADESH
Gwari B.O,206241,Bidhuna,Auraiya,UTTAR PRADESH
Harvanspur B.O,206248,Bidhuna,Auraiya,UTTAR PRADESH
Itailly B.O,206241,Bidhuna,Auraiya,UTTAR PRADESH
Jagannathpur B.O,206128,Bharthna,Etawah,UTTAR PRADESH
Jalalpur B.O,206255,Bidhuna,Auraiya,UTTAR PRADESH
Juhikha B.O,206121,Auraiya,Auraiya,UTTAR PRADESH
Kaithawa B.O,206243,Bidhuna,Auraiya,UTTAR PRADESH
Kandheshi Pachar B.O,206242,Bharthana,Etawah,UTTAR PRADESH
Mahoo B.O,206251,Bidhuna,Auraiya,UTTAR PRADESH
Malajani B.O,206245,Jaswant Nagar,Etawah,UTTAR PRADESH
Malhosi S.O,206255,Auraiya,Auraiya,UTTAR PRADESH
Mandir Mahewa S.O,206128,Bharthana,Etawah,UTTAR PRADESH
Merhi Dudhi B.O,206242,Bharthana,Etawah,UTTAR PRADESH
Niwarikalan B.O,206120,Bharthana,Etawah,UTTAR PRADESH
Pali Khurd B.O,206242,Bharthana,Etawah,UTTAR PRADESH
Piparpur B.O,206244,Auraiya,Auraiya,UTTAR PRADESH
Purela B.O,206123,Bharthana,Etawah,UTTAR PRADESH
Rajaumau B.O,206250,Bidhuna,Auraiya,UTTAR PRADESH
Sarsai Nawar B.O,206123,Bharthana,Etawah,UTTAR PRADESH
Sehud B.O,206244,Auraiya,Auraiya,UTTAR PRADESH
Sekhupur Adhar Singh B.O,206120,Bharthana,Etawah,UTTAR PRADESH
Sherpur Saraiya B.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Sondhemau B.O,206244,Auraiya,Auraiya,UTTAR PRADESH
Tilakpur Farm B.O,206243,Bidhuna,Auraiya,UTTAR PRADESH
Vaidpura B.O,206002,Saifai,Etawah,UTTAR PRADESH
Ajitmal S.O,206121,Auraiya ,Auraiya,UTTAR PRADESH
Andawa B.O,206128,Bharthana,Etawah,UTTAR PRADESH
Badera B.O,206121,Auraiya,Auraiya,UTTAR PRADESH
Baghaipur B.O,206241,Bidhuna,Auraiya,UTTAR PRADESH
Ballapur B.O,206121,Auraiya,Auraiya,UTTAR PRADESH
Balrai B.O,206245,Jaswant Nagar,Etawah,UTTAR PRADESH
Bamuripur B.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Bansi B.O,206241,Bidhuna,Auraiya,UTTAR PRADESH
Bela S.O (Auraiya),206251,Bidhuna,Auraiya,UTTAR PRADESH
Bharsen B.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Bhikhara B.O,206243,Bidhuna,Auraiya,UTTAR PRADESH
Bidauri B.O,206125,Chakar Nagar,Etawah,UTTAR PRADESH
Chaubia B.O,206123,Bharthana,Etawah,UTTAR PRADESH
Chhachhund B.O,206241,Bidhuna,Auraiya,UTTAR PRADESH
Dahgaon B.O,206246,Auraiya,Auraiya,UTTAR PRADESH
Dakhlipur B.O,206244,Auraiya,Auraiya,UTTAR PRADESH
Daulatpur B.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Eknaur B.O,206127,Chakar Nagar,Etawah,UTTAR PRADESH
Garhi Ram Dhan B.O,206245,Jaswant Nagar,Etawah,UTTAR PRADESH
Garhwana B.O,206242,Bharthana,Etawah,UTTAR PRADESH
Ginja B.O,206130,Saifai,Etawah,UTTAR PRADESH
Ikaurapur B.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Indapamau B.O,206243,Bidhuna,Auraiya,UTTAR PRADESH
Ingurri B.O,206124,Bharthana,Etawah,UTTAR PRADESH
Jagsora B.O,206245,Jaswant Nagar,Etawah,UTTAR PRADESH
Jaitapur B.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Jasohan B.O,206245,Jaswant Nagar,Etawah,UTTAR PRADESH
Kathua B.O,206253,Saifai,Etawah,UTTAR PRADESH
Kharagpur Saraiya B.O,206123,Bharthana,Etawah,UTTAR PRADESH
Kursi B.O,206248,Bidhuna,Auraiya,UTTAR PRADESH
Kushna B.O,206242,Bharthana,Etawah,UTTAR PRADESH
Lalpura Etawah S.O,206001,Etawah,Etawah,UTTAR PRADESH
Luhiapur B.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Murhi B.O,206247,Auraiya,Auraiya,UTTAR PRADESH
Niloi B.O,206245,Jaswant Nagar,Etawah,UTTAR PRADESH
Pata R.S. B.O,206241,Bidhuna,Auraiya,UTTAR PRADESH
Purakalan B.O,206244,Auraiya,Auraiya,UTTAR PRADESH
Purva Jain B.O,206248,Bidhuna,Auraiya,UTTAR PRADESH
Samthar B.O,206242,Bharthana,Etawah,UTTAR PRADESH
Sarai Sheesgram B.O,206249,Bidhuna,Auraiya,UTTAR PRADESH
Seengpurva Mana B.O,206244,Auraiya,Auraiya,UTTAR PRADESH
Sherpur B.O,206124,Bharthana,Etawah,UTTAR PRADESH
Sirhaul B.O,206245,Jaswant Nagar,Etawah,UTTAR PRADESH
Usrahar B.O,206123,Bharthana,Etawah,UTTAR PRADESH
Vijaypura B.O,206245,Jaswant Nagar,Etawah,UTTAR PRADESH
Ailly B.O,206249,Bidhuna,Auraiya,UTTAR PRADESH
Barahar B.O,206249,Bidhuna,Auraiya,UTTAR PRADESH
Bhadpur B.O,206252,Bidhuna,Auraiya,UTTAR PRADESH
Bhareh B.O,206121,Auraiya,Auraiya,UTTAR PRADESH
Bijhai B.O,206244,Auraiya,Auraiya,UTTAR PRADESH
Bilawan B.O,206121,Auraiya,Auraiya,UTTAR PRADESH
Bojha B.O,206120,Bharthana,Etawah,UTTAR PRADESH
Chapta B.O,206129,Auraiya,Auraiya,UTTAR PRADESH
Chirhuli B.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Etawah City S.O,206001,Etawah,Etawah,UTTAR PRADESH
Fatehpur Beni B.O,206247,Auraiya,Auraiya,UTTAR PRADESH
Garhaita B.O,206131,Etawah,Etawah,UTTAR PRADESH
Hardoi B.O,206253,Saifai,Etawah,UTTAR PRADESH
Indraukhi B.O,206120,Bharthana,Etawah,UTTAR PRADESH
Janishnagar B.O,206121,Auraiya,Auraiya,UTTAR PRADESH
Jhabrapura B.O,206245,Jaswant Nagar,Etawah,UTTAR PRADESH
Kakhaotoo B.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Kakor Buzurg B.O,206244,Auraiya,Auraiya,UTTAR PRADESH
Karampur B.O,206129,Auraiya,Auraiya,UTTAR PRADESH
Khetupur B.O,206121,Auraiy,Auraiya,UTTAR PRADESH
Kudarkot B.O,206122,Bidhuna,Auraiya,UTTAR PRADESH
Kunwara B.O,206242,Bharthana,Etawah,UTTAR PRADESH
Madokmeet B.O,206248,Bidhuna,Auraiya,UTTAR PRADESH
Manikpur Bissu B.O,206003,Etawah,Etawah,UTTAR PRADESH
Nigra B.O,206129,Auraiya,Auraiya,UTTAR PRADESH
Parasana B.O,206123,Bharthana,Etawah,UTTAR PRADESH
Pratapner B.O,206001,Etawah,Etawah,UTTAR PRADESH
Prithvirampur B.O,206124,Bharthana,Etawah,UTTAR PRADESH
Purwa Bhikha B.O,206248,Bidhuna,Auraiya,UTTAR PRADESH
Ritaur B.O,206126,Etawah,Etawah,UTTAR PRADESH
Roshangpur B.O,206129,Auraiya,Auraiya,UTTAR PRADESH
Sahson B.O,206125,Chakar Nagar,Etawah,UTTAR PRADESH
Saraipukhta B.O,206250,Bidhuna,Auraiya,UTTAR PRADESH
Senganpur B.O,206121,Auraiya,Auraiya,UTTAR PRADESH
Sikharna B.O,206129,Auraiya,Auraiya,UTTAR PRADESH
Yakubpur B.O,206255,Bidhuna,Auraiya,UTTAR PRADESH
Bachheri B.O,206125,Chakar Nagar,Etawah,UTTAR PRADESH
Baisolighat B.O,206126,Etawah,Etawah,UTTAR PRADESH
Bakauli B.O,206123,Bharthana,Etawah,UTTAR PRADESH
Bansari B.O,206125,Chakar Nagar,Etawah,UTTAR PRADESH
Barauli Jamunapar B.O,206131,Etawah,Etawah,UTTAR PRADESH
Belhupur B.O,206246,Auraiya,Auraiya,UTTAR PRADESH
Bidhipura B.O,206127,Chakar Nagar,Etawah,UTTAR PRADESH
Binpurapur B.O,206246,Auraiya,Auraiya,UTTAR PRADESH
Chaurela B.O,206125,Chakarnagar,Etawah,UTTAR PRADESH
Darbatpur B.O,206120,Bharthana,Etawah,UTTAR PRADESH
Dibiapur S.O,206244,Auraiya,Auraiya,UTTAR PRADESH
Etawah H.O,206001,Etawah,Etawah,UTTAR PRADESH
Etawah Kutchary S.O,206001,Etawah,Etawah,UTTAR PRADESH
Gailly B.O,206251,Bidhuna,Auraiya,UTTAR PRADESH
K. K. D. C. Etawah S.O,206001,Etawah,Etawah,UTTAR PRADESH
Kanchausi Bazar S.O,206246,Auraiya,Auraiya,UTTAR PRADESH
Kandheshi Dhar B.O,206125,Chakar Nagar,Etawah,UTTAR PRADESH
Karri B.O,206123,Bharthana,Etawah,UTTAR PRADESH
Keontra B.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Kukaoli B.O,206245,Jaswant Nagar,Etawah,UTTAR PRADESH
Kursena B.O,206245,Jaswant Nagar,Etawah,UTTAR PRADESH
Madahadaspur B.O,206255,Bidhuna,Auraiya,UTTAR PRADESH
Maman B.O,206242,Bharthana,Etawah,UTTAR PRADESH
Masoodpur B.O,206249,Bidhuna,Auraiya,UTTAR PRADESH
Moonj B.O,206123,Bharthana,Etawah,UTTAR PRADESH
Nandgaon B.O,206127,Chakar Nagar,Etawah,UTTAR PRADESH
Paharpura B.O,206127,Chakar Nagar,Etawah,UTTAR PRADESH
Punja B.O,206123,Bharthana,Etawah,UTTAR PRADESH
Pusauli B.O,206243,Bidhuna,Auraiya,UTTAR PRADESH
Saifai S.O,206130,Saifai,Etawah,UTTAR PRADESH
Sainfi B.O,206242,Bharthana,Etawah,UTTAR PRADESH
Sanphar B.O,206122,Auraiya,Auraiya,UTTAR PRADESH
Sindaus B.O,206125,Chakar Nagar,Etawah,UTTAR PRADESH
Sishat B.O,206245,Jaswant Nagar,Etawah,UTTAR PRADESH
Titawali B.O,206125,Chakar Nagar,Etawah,UTTAR PRADESH
Umrain B.O,206252,Bidhuna,Auraiya,UTTAR PRADESH
Babai B.O,285123,Jalaun,Jalaun,UTTAR PRADESH
Baghaira B.O,284202,Garautha,Jhansi,UTTAR PRADESH
Baidora B.O,284401,Jhansi,Jhansi,UTTAR PRADESH
Bakwan B.O,284303,Moth,Jhansi,UTTAR PRADESH
Balabehat B.O,284406,Mahroni,Lalitpur,UTTAR PRADESH
Bamhori Bahadur Singh B.O,284405,Mahroni,Lalitpur,UTTAR PRADESH
Bamhori Kalan B.O,284403,Lalitpur,Lalitpur,UTTAR PRADESH
Bangra S.O,285121,Jalaun,Jalaun,UTTAR PRADESH
Bara Bazar S.O (Jhansi),284002,Jhansi,Jhansi,UTTAR PRADESH
Barsar B.O,285223,Konch,Jalaun,UTTAR PRADESH
Beerpura B.O,285001,Orai,Jalaun,UTTAR PRADESH
Bhailoni Suba B.O,284123,Lalitpur,Lalitpur,UTTAR PRADESH
Bhattagaon S.O,284127,NA,Jhansi,UTTAR PRADESH
Binaura B.O,285223,Konch,Jalaun,UTTAR PRADESH
Boodha B.O,284002,Jhansi,Jhansi,UTTAR PRADESH
Chamari B.O,285202,Kalpi,Jalaun,UTTAR PRADESH
Chirgaon Khurd B.O,284304,NA,Jhansi,UTTAR PRADESH
Daoni B.O,284403,Lalitpur,Lalitpur,UTTAR PRADESH
Deori Singhpura B.O,284205,Mauranipur,Jhansi,UTTAR PRADESH
Dhamna Payak B.O,284204,Mauranipur,Jhansi,UTTAR PRADESH
Dhaurra B.O,284204,Mauranipur,Jhansi,UTTAR PRADESH
Dulawan B.O,284122,Lalitpur,Lalitpur,UTTAR PRADESH
Eeton B.O,285129,Madhogarh,Jalaun,UTTAR PRADESH
Erich S.O,284302,NA,Jhansi,UTTAR PRADESH
Garherna B.O,285121,Jalaun,Jalaun,UTTAR PRADESH
Garhmau B.O,284121,Jhansi,Jhansi,UTTAR PRADESH
Ghatwar B.O,284403,Lalitpur,Lalitpur,UTTAR PRADESH
Gohan B.O,285001,Jalaun,Jalaun,UTTAR PRADESH
Gurha B.O,284405,Mahroni,Lalitpur,UTTAR PRADESH
Hatheri B.O,285123,Jalaun,Jalaun,UTTAR PRADESH
Imiliya Buzurg B.O,285202,Kalpi,Jalaun,UTTAR PRADESH
Itahiya B.O,285123,Jalaun,Jalaun,UTTAR PRADESH
Itaura B.O,285001,Orai,Jalaun,UTTAR PRADESH
Jaigha B.O,285124,Jalaun,Jalaun,UTTAR PRADESH
Jaitpura B.O,285205,Konch,Jalaun,UTTAR PRADESH
Jamrohi Khurd B.O,285201,Konch,Jalaun,UTTAR PRADESH
Jhansi Sadar Bazar S.O,284001,Jhansi,Jhansi,UTTAR PRADESH
Kadesarakalan B.O,284126,Talbehat,Lalitpur,UTTAR PRADESH
Kailor B.O,285126,Madhogarh,Jalaun,UTTAR PRADESH
Kudaari B.O,285121,Jalaun,Jalaun,UTTAR PRADESH
Kusmara B.O,285123,Jalaun,Jalaun,UTTAR PRADESH
Kusmiliya B.O,285122,Orai,Jalaun,UTTAR PRADESH
Kuthond S.O,285125,Jalaun,Jalaun,UTTAR PRADESH
Kuthonda B.O,285121,Jalaun,Jalaun,UTTAR PRADESH
Kuthonda Buzurg B.O,285123,Jalaun,Jalaun,UTTAR PRADESH
Lagaun B.O,284501,Lalitpur,Lalitpur,UTTAR PRADESH
Lalitpur Railway Station S.O,284403,Lalitpur ,Lalitpur,UTTAR PRADESH
Lohai B.O,285125,Madhogarh,Jalaun,UTTAR PRADESH
Manpura B.O,285121,Jalaun,Jalaun,UTTAR PRADESH
Muhara B.O,284122,Lalitpur,Lalitpur,UTTAR PRADESH
Nayakhera B.O,284401,Jhansi,Jhansi,UTTAR PRADESH
Orai Railway Station S.O,285001,Orai,Jalaun,UTTAR PRADESH
Pahari Buzurg B.O,284301,Jhansi,Jhansi,UTTAR PRADESH
Palar B.O,284121,Jhansi,Jhansi,UTTAR PRADESH
Pandori B.O,284303,Moth,Jhansi,UTTAR PRADESH
Paraul B.O,284406,Mahroni,Lalitpur,UTTAR PRADESH
Parawar B.O,285121,Jalaun,Jalaun,UTTAR PRADESH
Pasaura B.O,284206,Mauranipur,Jhansi,UTTAR PRADESH
Patti Kumharra B.O,284303,Moth,Jhansi,UTTAR PRADESH
Rahiya B.O,285001,Orai,Jalaun,UTTAR PRADESH
Rajghat Dam Project S.O,284501,NA,Lalitpur,UTTAR PRADESH
Rampura S.O (Jalaun),285127,Jalaun,Jalaun,UTTAR PRADESH
Roora Addu B.O,285001,Orai,Jalaun,UTTAR PRADESH
Sadupura B.O,285205,Konch,Jalaun,UTTAR PRADESH
Sakrar B.O,284205,Mauranipur,Jhansi,UTTAR PRADESH
Sarol B.O,284121,Jhansi,Jhansi,UTTAR PRADESH
Saujana B.O,284405,Mahroni,Lalitpur,UTTAR PRADESH
Sindwaha B.O,284405,Mahroni,Lalitpur,UTTAR PRADESH
Siron Madawra B.O,284404,Mahroni,Lalitpur,UTTAR PRADESH
Sirsi B.O,284124,NA,Lalitpur,UTTAR PRADESH
Urgaon B.O,285123,Jalaun,Jalaun,UTTAR PRADESH
Usargaon B.O,285202,NA,Jalaun,UTTAR PRADESH
Aknewa B.O,285205,Konch,Jalaun,UTTAR PRADESH
Akorhi Dubey B.O,285123,Jalaun,Jalaun,UTTAR PRADESH
Amra B.O,284303,Moth,Jhansi,UTTAR PRADESH
Asaupura B.O,284122,Lalitpur,Lalitpur,UTTAR PRADESH
Badokhari B.O,284304,NA,Jhansi,UTTAR PRADESH
Bairai B.O,285204,Kalpi,Jalaun,UTTAR PRADESH
Barauri B.O,284204,Mauranipur,Jhansi,UTTAR PRADESH
Barh S.O (Lalitpur),284123,NA,Lalitpur,UTTAR PRADESH
Belma Kalan B.O,284303,Moth,Jhansi,UTTAR PRADESH
Bhadarwara B.O,284204,Mauranipur,Jhansi,UTTAR PRADESH
Bhadeikh B.O,285125,NA,Jalaun,UTTAR PRADESH
Bhadreikhi B.O,285202,Kalpi,Jalaun,UTTAR PRADESH
Bhandra Khilara B.O,284204,NA,Jhansi,UTTAR PRADESH
Bhaoupura B.O,285128,Jalaun,Jalaun,UTTAR PRADESH
Bundelkhand University S.O,284128,Jhansi,Jhansi,UTTAR PRADESH
Bunt B.O,284403,Lalitpur,Lalitpur,UTTAR PRADESH
C & W Workshop S.O,284003,Jhansi,Jhansi,UTTAR PRADESH
Chirgaon S.O (Jhansi),284301,NA,Jhansi,UTTAR PRADESH
Chungi B.O,284123,Lalitpur,Lalitpur,UTTAR PRADESH
Daulatpur B.O,285125,Madhogarh,Jalaun,UTTAR PRADESH
Deogaon B.O,285205,Konch,Jalaun,UTTAR PRADESH
Dhantauli B.O,285001,NA,Jalaun,UTTAR PRADESH
Dhawakar B.O,284204,Mauranipur,Jhansi,UTTAR PRADESH
Dhoota B.O,285124,Jalaun,Jalaun,UTTAR PRADESH
Didonia B.O,284404,Mahroni,Lalitpur,UTTAR PRADESH
Dvc Road Orai S.O,285001,Orai,Jalaun,UTTAR PRADESH
Garhar B.O,285001,Orai,Jalaun,UTTAR PRADESH
Ghisauli B.O,284124,Lalitpur,Lalitpur,UTTAR PRADESH
Ghuraiya B.O,284202,Garautha,Jhansi,UTTAR PRADESH
Gulaoli B.O,285204,Kalpi,Jalaun,UTTAR PRADESH
Jakhauli B.O,285201,Konch,Jalaun,UTTAR PRADESH
Jakhaura B.O,284202,Garautha,Jhansi,UTTAR PRADESH
Jalaun Town S.O,285123,Jalaun,Jalaun,UTTAR PRADESH
Jhansi Cantt. S.O,284001,Jhansi,Jhansi,UTTAR PRADESH
Jhansi Railway Station S.O,284003,Jhansi,Jhansi,UTTAR PRADESH
Kachir B.O,284203,Garautha,Jhansi,UTTAR PRADESH
Kailguwan B.O,284402,Mahroni,Lalitpur,UTTAR PRADESH
Kakrau B.O,285203,NA,Jalaun,UTTAR PRADESH
Khairi B.O,285205,NA,Jalaun,UTTAR PRADESH
Kharoosa B.O,285001,Orai,Jalaun,UTTAR PRADESH
Khiriya Latkanju B.O,284405,Mahroni,Lalitpur,UTTAR PRADESH
Kisalwans B.O,284124,Lalitpur,Lalitpur,UTTAR PRADESH
Kursenda B.O,285126,Madhogarh,Jalaun,UTTAR PRADESH
Lakhanpura B.O,284122,Lalitpur,Lalitpur,UTTAR PRADESH
Madaripur S.O,285130,NA,Jalaun,UTTAR PRADESH
Madhogarh S.O (Jalaun),285126,Jalaun,Jalaun,UTTAR PRADESH
Magraul B.O,285204,NA,Jalaun,UTTAR PRADESH
Mahewa B.O,284204,Mauranipur,Jhansi,UTTAR PRADESH
Markuan B.O,284204,NA,Jhansi,UTTAR PRADESH
Marrauli B.O,284402,Mahroni,Lalitpur,UTTAR PRADESH
Mlb Medical College S.O,284128,Jhansi,Jhansi,UTTAR PRADESH
Moth S.O,284303,Moth,Jhansi,UTTAR PRADESH
Nunsai B.O,285001,NA,Jalaun,UTTAR PRADESH
Orai Town S.O,285001,Orai,Jalaun,UTTAR PRADESH
Pahargaon B.O,284306,Moth,Jalaun,UTTAR PRADESH
Patha B.O,284302,NA,Jhansi,UTTAR PRADESH
Patha Dhakarwara B.O,284204,NA,Jhansi,UTTAR PRADESH
Pipra Raipur B.O,284124,Lalitpur,Lalitpur,UTTAR PRADESH
Poora Virdha B.O,284126,NA,Lalitpur,UTTAR PRADESH
Pratap-pura B.O,285123,Jalaun,Jalaun,UTTAR PRADESH
Punaoli Kalan B.O,284419,Jhansi,Jhansi,UTTAR PRADESH
Rajawan B.O,284126,Talbehat,Lalitpur,UTTAR PRADESH
Raksa S.O,284419,Jhansi,Jhansi,UTTAR PRADESH
Ramhetpura B.O,285126,Madhogarh,Jalaun,UTTAR PRADESH
Rendhar B.O,285121,Jalaun,Jalaun,UTTAR PRADESH
Sahav B.O,285123,Jalaun,Jalaun,UTTAR PRADESH
Sarr B.O,285121,Jalaun,Jalaun,UTTAR PRADESH
Serwans Kalan B.O,284126,Talbehat,Lalitpur,UTTAR PRADESH
Siaoni Khurd B.O,284205,Mauranipur,Jhansi,UTTAR PRADESH
Siya B.O,284301,Jhansi,Jhansi,UTTAR PRADESH
Tera B.O,284403,Lalitpur,Lalitpur,UTTAR PRADESH
Timron B.O,285001,NA,Jalaun,UTTAR PRADESH
Uncha B.O,285127,Madhogarh,Jalaun,UTTAR PRADESH
Ait S.O,285201,Konch,Jalaun,UTTAR PRADESH
Amgaon B.O,284306,Moth,Jhansi,UTTAR PRADESH
Baghaura B.O,284123,Lalitpur,Lalitpur,UTTAR PRADESH
Bahadurpur B.O,285124,Jalaun,Jalaun,UTTAR PRADESH
Bamhori Khandel B.O,284123,Lalitpur,Lalitpur,UTTAR PRADESH
Bandhauli B.O,285122,Orai,Jalaun,UTTAR PRADESH
Bangri B.O,284202,NA,Jhansi,UTTAR PRADESH
Banpur S.O (Lalitpur),284402,Mahroni,Lalitpur,UTTAR PRADESH
Bansi S.O (Lalitpur),284122,Talbehat,Lalitpur,UTTAR PRADESH
Baragaon S.O (Jhansi),284121,NA,Jhansi,UTTAR PRADESH
Barkhera B.O,285203,NA,Jalaun,UTTAR PRADESH
Basob B.O,285201,Konch,Jalaun,UTTAR PRADESH
Bheonraghat B.O,284303,Moth,Jhansi,UTTAR PRADESH
Bichauli B.O,285130,Madhogarh,Jalaun,UTTAR PRADESH
